Date,News,Prediction
18/08/2011, india, INCREASE
23/08/2011, brazilian wind energy projects advance in government auction, INCREASE
23/08/2011, over 2 million mozambicans using renewable energy, INCREASE
23/08/2011, south korean and indian firms team up to build power plants, INCREASE
23/08/2011, uzbekistan seeks joint uraniumproducing project with china, INCREASE
23/08/2011, ghanas gas industry nationalization affecting lpg supply, INCREASE
24/08/2011, despite controversy, NEUTRAL
24/08/2011, iran’s kish international oil bourse completes first oil transaction, NEUTRAL
24/08/2011, north korea exploring for lucrative rare earth elements, NEUTRAL
24/08/2011, us government interested in nigeria’s energy infrastructure, NEUTRAL
24/08/2011, biofuels usa opens biodiesel gas station on interstate70, NEUTRAL
25/08/2011, mongolias energy sector booming, INCREASE
25/08/2011, south korea investing in kazakhstan energy projects, INCREASE
25/08/2011, irans energy sector beset by problems , INCREASE
25/08/2011, thailand uncovers illegal oil trading in southern border provinces, INCREASE
25/08/2011, azeri economy, INCREASE
30/08/2011, iran rejects international mediators uranium exchange proposal, INCREASE
30/08/2011, american elements says that us needs a strategic metals reserve, INCREASE
30/08/2011, brazilian government to reduce ethanol content of gasoline, INCREASE
30/08/2011, baltic nations to work together on infrastructure projects, INCREASE
30/08/2011, thailands former finance minister urges governmental energy review, INCREASE
31/08/2011, wikileaks cable suggests usa supported removing gas trader, DECREASE
31/08/2011, irans oil, DECREASE
31/08/2011, kim jong il woos russia as potential investor in north korea, DECREASE
31/08/2011, nigeria’s power sector harshly criticized, DECREASE
31/08/2011, south koreas petroleum products exports rise in july, DECREASE
13/09/2011, sudan says that south sudan to pay outstanding oil fees, DECREASE
13/09/2011, uruguay developers offer cheaper power from private wind farms, DECREASE
13/09/2011, oil discovery off french guiana mirrors ghana’s jubilee field , DECREASE
13/09/2011, vietnam national oil and gas group launches oil platform, DECREASE
14/09/2011, russian oil major rosneft and energy giant exxonmobil to cooperate, INCREASE
14/09/2011, iranian president inaugurated new hydroelectric plant in tajikistan, INCREASE
14/09/2011, israel’s dimona nuclear research center retiring 500 workers, INCREASE
14/09/2011, indonesia’s pt pln urges bp migas to complete gas swap agreement, INCREASE
15/09/2011, iraq to boost oil output to 3 million barrels a day by year end, DECREASE
15/09/2011, russia’s lukoil to establish solar energy plant in uzbekistan , DECREASE
15/09/2011, kenyan solar project to provide cheaper energy to manufacturers, DECREASE
15/09/2011, canadian company strikes oil in argentina’s neuquen basin, DECREASE
15/09/2011, iran to install persian gulf’s largest offshore oil platform, DECREASE
26/09/2011, bangladesh losing money from oilbased power generation, INCREASE
26/09/2011, turkey’s growing ties with iran unsettle washington, INCREASE
26/09/2011, zimbabwe’s government issues 20 coal exploration licenses, INCREASE
26/09/2011, india’s government postpones ongcs followon public offering, INCREASE
26/09/2011, philippines invests in geothermal energy, INCREASE
28/09/2011, nigeria goal of 40, DECREASE
28/09/2011, japanese team to visit india’s upgraded coal fired plant, DECREASE
28/09/2011, tajikistan, DECREASE
28/09/2011, president mugabe says nato abusing un charter to control libyan oil, DECREASE
29/09/2011, canada’s british columbia urged to support renewable fuels sector, DECREASE
29/09/2011, french loan to finance south african eskom wind project, DECREASE
29/09/2011, iraq interested in turkish electricity imports, DECREASE
29/09/2011, indonesia, DECREASE
29/09/2011, south korean consortium investing in romanian nuclear project, DECREASE
30/09/2011, iran building first heavy oil refinery on qeshm island, DECREASE
30/09/2011, estimated compensation for fukushima reactor debacle continues to rise , DECREASE
30/09/2011, uzbekistan to utilize south african gasification technology, DECREASE
30/09/2011, taiwan interested in indonesian coal, DECREASE
30/09/2011, chilean company farming algae for future production of biofuels, DECREASE
10/10/2011, rig in position at israel’s offshore mediterranean natural gas field, DECREASE
10/10/2011, indonesian coal miner plans 167m ipo to finance coal boom, DECREASE
10/10/2011, china national offshore oil corp likely to miss 2011 targets, DECREASE
10/10/2011, chilean hydroelectric dam project to be appealed to supreme court, DECREASE
10/10/2011, vietnam hosts renewable energy fair , DECREASE
10/11/2011, battle to be the world’s no1 oil producer heating up, INCREASE
13/10/2011, iran to develop six new persian gulf offshore natural gas fields, INCREASE
13/10/2011, russia and china close to concluding a natural gas supply contract , INCREASE
13/10/2011, western energy firms increase their investment in kenya , INCREASE
13/10/2011, china’s petrochemical corp invests in canada , INCREASE
13/10/2011, belarusianvenezuelan company will increase oil production in 2012 , INCREASE
17/10/2011, french newspaper contemplates phaseout of nuclear energy, DECREASE
17/10/2011, belarus forges ahead with nuclear power program, DECREASE
17/10/2011, pakistans power minister may lose job over power crisis, DECREASE
17/10/2011, indonesias first nuclear power plant delayed, DECREASE
17/10/2011, uganda to expedite parliament’s consideration of oil legislation, DECREASE
18/10/2011, massive natural gas discoveries in northern spain , DECREASE
18/10/2011, german investors consider renewable energy in the philippines, DECREASE
18/10/2011, vietnam requests sri lanka to stop offshore oil exploration, DECREASE
18/10/2011, first biodiesel plant proposed for schuylkill, DECREASE
18/10/2011, kenyan solar power projects scarce despite potential, DECREASE
19/10/2011, kenya and saudi arabia deepen energy ties , DECREASE
19/10/2011, spanish wind power companies distressed by subsidy cuts, DECREASE
19/10/2011, mozambique, DECREASE
19/10/2011, german energy company resumes joint projects with gazprom in libya, DECREASE
19/10/2011, spains abengoa corp to construct bioethanol plant in uruguay, DECREASE
20/10/2011, mexico’s pemex to drill for oil in deep waters of gulf of mexico, INCREASE
20/10/2011, ethiopian court sequesters chinese sinohydro corp funds , INCREASE
20/10/2011, uk mox plant closure to cost japanese utilities billions, INCREASE
20/10/2011, chinas sinohydro corp soars in stock market ipo debut, INCREASE
31/10/2011, is beacon power about to follow solyndra into redundancy, DECREASE
11/10/2011, japanese government planning to build hydrocarbon reserves , INCREASE
11/10/2011, ethiopia seeking to be east african regions power hub , INCREASE
11/10/2011, iraqi oil specialists criticize new national oil law as unconstitutional, INCREASE
11/10/2011, uzbek natural gas project to receive equipment from malaysian companies, INCREASE
11/10/2011, indian protesters ask for closure tamil nadu nuclear power plant, INCREASE
17/01/2012, lithuania seeks to break gazprom’s stranglehold on natural gas imports, DECREASE
18/01/2012, is abu dhabi losing interest in renewable energy, DECREASE
18/01/2012, bulgaria bans fracking following public protests, DECREASE
19/01/2012, nigerian president to reduce fuel prices, DECREASE
19/01/2012, scotland well on the way to achieving 100 renewable energy by 2020, DECREASE
20/01/2012, solar yacht sails around the world powered by nothing more than the sun, INCREASE
20/01/2012, exxonmobil increase oil spill estimate in light of more detailed analysis, INCREASE
23/01/2012, petrobras design new gtl process to create cheap oil from natural gas, DECREASE
23/01/2012, new heat engine could make geothermal power accessible to the world, DECREASE
24/01/2012, chinese refinery in chad hits a major snag, INCREASE
24/01/2012, cheaper, INCREASE
25/01/2012, texas firm strikes natural gas in mozambique, INCREASE
26/01/2012, despite the current oil  gas boom, INCREASE
26/01/2012, greek default will it save or doom the eu, INCREASE
27/01/2012, iran to take action against the west by banning oil exports to the eu, DECREASE
27/01/2012, transmission line under the mediterranean to supply italy with clean power, DECREASE
27/01/2012, fed says market rally is bs, DECREASE
27/01/2012, will new technology cause chinas grip on the rare earth industry to slip, DECREASE
30/01/2012, saudi arabia promises to cover shortages in world oil supply, INCREASE
30/01/2012, siemens secures first wind turbine order in africa, INCREASE
31/01/2012, qatar to spend 25 billion on petrochemical development, INCREASE
31/01/2012, industry experts say iranian oil sanctions will not affect supply, INCREASE
31/01/2012, china’s demands for release of workers held by rebels in sudan fall on deaf ears, INCREASE
13/02/2012, many fear new government reforms will destroy the uk solar industry, DECREASE
14/02/2012, new power source discovered for nanotechnology, INCREASE
14/02/2012, approval granted for first us nuclear power plant since 1978, INCREASE
14/02/2012, why large banks shouldnt be broken up, INCREASE
15/02/2012, blame to spare on tar sands debate, INCREASE
15/02/2012, lack of power lines prevents new offshore wind farms in germany, INCREASE
15/02/2012, dominican republic turns to gazprom for help on energy strategy, INCREASE
16/02/2012, bill gates and richard branson back geoengineering to counter climate change, DECREASE
16/02/2012, eni announce another huge gas discovery off the coast of mozambique, DECREASE
16/02/2012, iran choose to cut oil exports to the eu before sanctions take effect, DECREASE
16/02/2012, stx group hope to profit from the wests largest oil discovery in three decades, DECREASE
17/02/2012, no peak oil  why then is saudi aramco opening old wells for heavy crude, INCREASE
17/02/2012, should the uk help ban canada’s tar sands from europe, INCREASE
17/02/2012, us pleas for asia to cut iranian oil imports fall on deaf ears, INCREASE
21/02/2012, japan starts to invest in tsunamiproof, INCREASE
21/02/2012, canada threatens eu with trade war over oil sands ban, INCREASE
21/02/2012, energy crisis in the gaza strip threatens hospitals, INCREASE
21/02/2012, middle east to spend 180 billion dollars on new energy projects, INCREASE
22/02/2012, new oil field in the gulf of mexico could be huge, INCREASE
23/02/2012, a unified north africa could help europe reach its clean energy goals, INCREASE
23/02/2012, japan reluctant to sign new deal with iran until us give the ok, INCREASE
24/02/2012, liberia announces major offshore oil find, INCREASE
24/02/2012, tonga starts on its plan to achieve 50 renewable energy by 2015, INCREASE
27/02/2012, daytime credit a thing of the past as the fed rewards high reserves, DECREASE
28/02/2012, is war imminent us and uk step up military action in the persian gulf, DECREASE
28/02/2012, flying wind turbine steals the show at energy department convention, DECREASE
28/02/2012, nuclear fallout from fukushima measured as insignificant in us, DECREASE
29/02/2012, mongolia to build its first wind farm, INCREASE
13/03/2012, fukushima no reason for nuclear energy ban, DECREASE
13/03/2012, chevrons south american nightmare, DECREASE
13/03/2012, iranian oil exports drop as foreign shipping companies avoid country, DECREASE
13/03/2012, what is up with the gdpless recovery, DECREASE
13/03/2012, 1 billion hydroelectric plant to be built in cameroon, DECREASE
14/03/2012, 4 million americans could be under water by 2100, DECREASE
14/03/2012, the best way to battle commodity price volatility, DECREASE
15/03/2012, india could become the first large casualty of the us sanctions on iran, INCREASE
15/03/2012, chile power companies trash renewable energy, INCREASE
15/03/2012, asian supergrid to connect japan, INCREASE
15/03/2012, us economists unite to ask obama to support eu carbon scheme for airlines, INCREASE
15/03/2012, lithiumion battery sales expected to increase by more than 700 by 2017, INCREASE
16/03/2012, east africas rapid rise to the top of the energy world, INCREASE
16/03/2012, israel to destroy illegal solar panels in palestinian villages, INCREASE
19/03/2012, iran sanctions felt as far as namibia, DECREASE
19/03/2012, natural gas analysis for the week of march 19, DECREASE
19/03/2012, temporary vs permanent increases in government spending, DECREASE
20/03/2012, rising petrostate kazakhstan mulls nuclear power, DECREASE
20/03/2012, space based solar power nothing but a dream, DECREASE
21/03/2012, new discoveries for carbon capture and storage, DECREASE
21/03/2012, obama calls for an end to 4 billion oil industry subsidies, DECREASE
22/03/2012, pulsed injection can increase the amount of recoverable oil in a well by 10, INCREASE
22/03/2012, shell sign agreement with chinese energy company to extract shale gas, INCREASE
22/03/2012, are we one step closer to fusion energy, INCREASE
26/03/2012, japans final nuclear reactor to close in may, DECREASE
26/03/2012, how global warming causes extreme weather patterns, DECREASE
27/03/2012, gas still leaking from north sea rig after 3 days, DECREASE
27/03/2012, want cheap energy scrap the doe, DECREASE
28/03/2012, plans for a new pipeline to rival keystone xl, DECREASE
28/03/2012, denmark increases carbon emission reduction targets, DECREASE
29/03/2012, uk carbon emissions down by 7, INCREASE
29/03/2012, is siemens new electrolyser plant vital for germanys renewable energy plans, INCREASE
13/04/2012, how the us could achieve energy independence, DECREASE
13/04/2012, uk look to icelands geothermal sector to help achieve energy security, DECREASE
13/04/2012, china hopes for progress in talks between iran and the un security council, DECREASE
16/04/2012, evs only as clean as the electricity that drives them, DECREASE
16/04/2012, india overtakes china as largest importer of iranian crude, DECREASE
17/04/2012, how much tax does big oil actually pay, DECREASE
17/04/2012, argentina seize ypf from repsol as they look to control domestic oil sector, DECREASE
18/04/2012, exxonmobil and rosneft to develop arctic oil in 500 billion deal, INCREASE
18/04/2012, first solar to write off 150 million as it pulls out of german market, INCREASE
18/04/2012, how long until the arctic sea ice completely melts, INCREASE
19/04/2012, energy market snapshot for april 18 2012, INCREASE
20/04/2012, 4 technologies that will change the world in the near future, DECREASE
20/04/2012, indias solar industry soars as the worlds largest solar park opens, DECREASE
20/04/2012, the most important unknown story in the world indias economic slowdown, DECREASE
20/04/2012, a new renewable energy source that could support half a billion people, DECREASE
20/04/2012, new opinion poll shows 66 of brits in favour of wind energy, DECREASE
20/04/2012, china installs the world’s largest battery, DECREASE
24/04/2012, video game consoles left on idle waste over 1 billion of electricity per year, DECREASE
24/04/2012, wells fargo to invest 30 billion in environmental projects by 2020, DECREASE
24/04/2012, iceland hopes cheap, DECREASE
25/04/2012, ferrari to produce its first hybrid supercar, INCREASE
25/04/2012, new company will start plans to mine asteroids in two years, INCREASE
25/04/2012, floating wind turbines could see wind farms arrive at the great lakes, INCREASE
25/04/2012, goldwind to release new, INCREASE
26/04/2012, giant sails cut fuel consumption of cargo ship by 30, DECREASE
26/04/2012, alex salmond hits back at donald trumps antiwind farm campaign, DECREASE
27/04/2012, fast artificial photosynthesis could change solar energy forever, DECREASE
27/04/2012, shell have told cameron they wont invest in north sea offshore wind farms, DECREASE
30/04/2012, exxon announce 80, INCREASE
30/04/2012, the art of recycling converting plastic to oil, INCREASE
15/05/2012, 46 million acres of federal land and water leased for drilling just sitting idle, DECREASE
15/05/2012, chevron sign 15 billion deal to supply lng to tohoku electric power company, DECREASE
15/05/2012, progress made on the atlantic wind connection and the northconnect lines, DECREASE
15/05/2012, why us energy policy cannot rely on natural gas alone, DECREASE
15/05/2012, the imf are warned that oil prices could double by 2022, DECREASE
15/05/2012, using viruses to create electricity, DECREASE
15/05/2012, mexico has the fastest growing wind power sector, DECREASE
16/05/2012, carbon taxes can help solve the european debt crisis, DECREASE
16/05/2012, total finally stop gas leak at north sea well, DECREASE
16/05/2012, british gas prices fall as norwegian processing plant returns to operation, DECREASE
16/05/2012, how much co2 emissions does each energy source actually release, DECREASE
17/05/2012, saudi arabian hackers attack iranian oil companies, DECREASE
17/05/2012, using cellular membranes to capture solar energy in space, DECREASE
17/05/2012, converting carbon emissions into liquid fuels, DECREASE
17/05/2012, state department shuts down wind turbines due to noise pollution, DECREASE
17/05/2012, midatlantic states now have enough solar capacity to power 1 million homes, DECREASE
18/05/2012, china furious about us antidumping tariffs of 31 against imported solar panels, INCREASE
18/05/2012, opec say iranian oil production down 12 due to sanctions, INCREASE
18/05/2012, ultraefficient green diesel to be produced from natural oils and animal fats, INCREASE
18/05/2012, the uk can protect itself from high oil prices by investing in renewables, INCREASE
18/05/2012, the ocean prospector will return to operation after 14 years on the dock, INCREASE
22/05/2012, what chesapeake energy is really worth to investors, DECREASE
22/05/2012, energy storage operators trade electricity to take advantage of price variations, DECREASE
22/05/2012, market for energy efficient homes will be worth 84 billion annually by 2020, DECREASE
23/05/2012, tapi pipeline a security nightmare all around, INCREASE
23/05/2012, libya in dire straits ahead of parliamentary elections, INCREASE
23/05/2012, report proves that large amounts of methane are released as the arctic ice melts, INCREASE
23/05/2012, yemen set to implode as aqap steps up offensive amid struggle to control oil, INCREASE
23/05/2012, new analysis proves keystone xl will increase gasoline prices in the us, INCREASE
24/05/2012, underground pipe has been leaking jet fuel for 40 years at us air force base, INCREASE
24/05/2012, europe set to spend a record 500 billion on oil imports this year, INCREASE
25/05/2012, iran looks to reduce reliance on the straits of hormuz with new oil terminal, DECREASE
25/05/2012, china looks to taiwan to avoid us tariffs on solar panels, DECREASE
25/05/2012, the us should encourage more chinese investment in clean technology, DECREASE
25/05/2012, cities look to small scale wind power to cut energy bills, DECREASE
29/05/2012, china pledge to invest 27 billion in renewable energy in 2012, DECREASE
29/05/2012, green investors avoid the uk over fears it will push for natural gas, DECREASE
30/05/2012, repsol stop looking for oil in cuba after hitting a dry well, INCREASE
30/05/2012, radioactive bluefin tuna found off the coast of california, INCREASE
30/05/2012, indias gvk is granted approval for 63 billion coal mine in queensland, INCREASE
31/05/2012, fuel efficiency is the most important factor when americans look for a new car, DECREASE
31/05/2012, solar parasol provides shade and clean electricity, DECREASE
13/06/2012, afghan warlord threatens chinese oil explorers, DECREASE
13/06/2012, iea calling for an extra 36 trillion to be invested in clean energy, DECREASE
13/06/2012, seadrill set for record profits as gamble on drill ships pays off, DECREASE
14/06/2012, us navy develops underwater solar cells, INCREASE
14/06/2012, bp announces that venezuela now have the largest oil reserves in the world, INCREASE
14/06/2012, offshore wind power could make the uk a net energy exporter, INCREASE
14/06/2012, more proof diesel exhaust fumes do cause cancer, INCREASE
15/06/2012, exxon signs deal to help rosneft develop huge bazhenov shale play in siberia, DECREASE
15/06/2012, japan will provide insurance to iranian tankers when eu sanctions take effect, DECREASE
15/06/2012, shell to invest 300 million on lng refuelling station network, DECREASE
15/06/2012, the importance of seagrass in removing carbon from the atmosphere, DECREASE
15/06/2012, new iphone app rewards travelling by bicycle or foot, DECREASE
18/06/2012, shale gas boom will create 24 million jobs by 2035, DECREASE
18/06/2012, jury give verdict in case of baldwin v costner, DECREASE
19/06/2012, report finds fracking causes fewer earthquakes than conventional extraction, DECREASE
19/06/2012, xena warrior princess arrested over environmental protests, DECREASE
19/06/2012, renewable energy supplied 888 of brazils electricity in 2011, DECREASE
19/06/2012, bp start drilling in jordans risha natural gas field, DECREASE
19/06/2012, more trust is needed in the government for economic stimulus to work, DECREASE
20/06/2012, worlds richest man, DECREASE
20/06/2012, portugal installs its first floating wind turbine, DECREASE
21/06/2012, swedish nuclear industry on high alert after explosives found on truck, NEUTRAL
21/06/2012, chesapeake replace mcclendon with exconoco chief as chairman, NEUTRAL
21/06/2012, which eu countries are on track to achieve 2020 renewable energy targets, NEUTRAL
21/06/2012, will sinopec save chesapeake in its quest for international market share, NEUTRAL
22/06/2012, invisible solar cell almost ready for mass production, DECREASE
22/06/2012, uae bypass the straits of hormuz with new oil pipeline, DECREASE
22/06/2012, norwegian oil workers threaten to go on strike if negotiations fail, DECREASE
22/06/2012, new feedin tariffs will create huge solar boom in japan, DECREASE
25/06/2012, saudi aramcos new venture capital firm to invest in new drilling technologies, INCREASE
25/06/2012, norwegian oil industry workers shutdown wells as negotiations fail to progress, INCREASE
25/06/2012, french environment minister removed from post after suspending drilling permits, INCREASE
26/06/2012, south korea become first major asian customer to halt iranian imports, INCREASE
26/06/2012, bp investigate fatal explosion at natural gas station in colorado, INCREASE
26/06/2012, vestas cancel plans to build new wind turbine factory in uk, INCREASE
26/06/2012, uruguay announces plans to develop 1, INCREASE
27/06/2012, new recycling technique enables spent nuclear fuel rods to be used again, DECREASE
27/06/2012, suncor looks for chinese partners to work on oil sands projects, DECREASE
27/06/2012, tepco sharholders agree to nationalise struggling energy company, DECREASE
27/06/2012, mubadala looks to invest 547 billion in brazils growing economy, DECREASE
28/06/2012, ecuador now looks to claim its 18 billion by seizing chevrons brazilian assets, INCREASE
28/06/2012, eu considers legal action against uk over poor air pollution levels, INCREASE
28/06/2012, fracking is worth over 100 billion a year to us consumers, INCREASE
29/06/2012, venezuela sign deal to explore for oil off the coast of cuba, INCREASE
29/06/2012, planning approved for uks largest ever pv solar farm, INCREASE
29/06/2012, petronas make 47 billion takeover bid for progress energy resources corp, INCREASE
13/07/2012, can enrique peña nietos energy reforms make mexico a major oil exporter, INCREASE
13/07/2012, wireless charging gives evs infinite range, INCREASE
13/07/2012, the most energy efficient economies, INCREASE
16/07/2012, texan shale boom leads to increase in drug trafficking, INCREASE
16/07/2012, shell drill ship slips anchor and runs aground in the arctic, INCREASE
17/07/2012, future alternative energy technologies to look out for, INCREASE
17/07/2012, forget the navys 26 a gallon, INCREASE
17/07/2012, china targets 5 million electric vehicles by 2020, INCREASE
17/07/2012, decision on renewable energy subsidies will be made soon, INCREASE
17/07/2012, arpae invests 30 million in natural gas vehicles, INCREASE
18/07/2012, saudi arabia looks to secure 109 billion to develop its solar industry, INCREASE
18/07/2012, natural gas explosion in louisiana heard 12 miles away, INCREASE
18/07/2012, us coast guard needs billions of dollars to cover oil companies in the arctic, INCREASE
18/07/2012, the nrdc guide to reducing pollution from fracking, INCREASE
18/07/2012, france joins the us, INCREASE
19/07/2012, gazproms monopoly in the european natural gas market slips, DECREASE
19/07/2012, geoengineering sunreflecting chemicals to be sprayed into air above new mexico, DECREASE
19/07/2012, italian pm hopes to attract 18 billion investment by relaxing offshore oil ban, DECREASE
19/07/2012, dong energy to install 300 siemens 6mw offshore wind turbines in the uk, DECREASE
20/07/2012, energy committee says canada must clean up its oil sector, DECREASE
20/07/2012, greenhouse gas emissions rose 3 in 2011 to all time high, DECREASE
20/07/2012, turkmenistans proven natural gas reserves almost doubled in new bp review, DECREASE
20/07/2012, chevron follow exxonmobil and invests in kurdistan oil exploration, DECREASE
20/07/2012, us wind power output increases as turbine blades grow longer, DECREASE
20/07/2012, richard branson requests meeting with obama and chu to discuss ifrs, DECREASE
20/07/2012, abengoa and silvermet to build two new steel dust recycling plants in turkey, DECREASE
23/07/2012, iranian naval commander says straits of hormuz will not be closed, DECREASE
23/07/2012, by how much does a green label increase the value of a house, DECREASE
23/07/2012, oil futures fall further over eu debt fears and chinas slowing economic growth, DECREASE
23/07/2012, construction of south stream pipeline to begin in december, DECREASE
24/07/2012, british treasury bias against the green sector continues, DECREASE
24/07/2012, cnooc become first ever chinese firm to invest in canadian oil sand production, DECREASE
24/07/2012, what does the future hold for cleantech as venture capital investment falls, DECREASE
24/07/2012, japans search for nuclear energy replacement continues, DECREASE
24/07/2012, the fed proposes changes to the money market to prevent bank runs, DECREASE
25/07/2012, acdc plays at full blast as another virus attacks irans nuclear facilities, INCREASE
25/07/2012, japan to judge viability of otec technology with pilot plant, INCREASE
