News,Date
Oil Prices Climb On OPEC+ Decision And Declining Dollar,02/02/23
U.S. Monthly Crude Oil Production Falls,02/01/23
"4 Days from Deadline, EU Fails To Agree On Russian Oil Products Price Cap",02/01/23
Gold Demand Soars To Hit 11-Year High In 2022,02/01/23
Germany’s Largest Gas Storage Facility Can’t Store Gas,02/01/23
U.S. Manufacturing PMI Hits Lowest Since May 2020,02/01/23
Iran And Russia Integrate Banking Systems To Skirt SWIFT Sanctions,02/01/23
UK Food Inflation Is Out Of Control,02/01/23
"Russian Urals Traded At $49.48 in January, But The Kremlin Isn’t Worried",02/01/23
Oil Pipeline From Russia To Europe Remains Operational Despite Shelling,02/01/23
Russia’s Economy Shrinks 2.7% Due To Western Sanctions,02/01/23
Disappointing Returns May Force BP To Rein In Its Renewable Energy Push,02/01/23
Goldman: The Fed Is Approaching A “Critical Inflection Point”,02/01/23
Biden Set To Support A Scaled-Down Oil Project In Alaska,02/01/23
White House Slams Exxon’s Record Profit As ‘Outrageous’,02/01/23
U.S. Refiners Expect High Margins In 2023,02/01/23
China’s Economy Is Bouncing Back As PMI Beats Expectations,02/01/23
Russian Oil Exports On Western Tankers Surge,02/01/23
"Oil Under Pressure As API Reports Large Crude, Product Builds",01/31/23
WoodMac: $100 Price Cap On Products Won’t Cripple Russian Refiners,01/31/23
"Russian Oil Companies Told To Comply With Ban On Oil, Oil Product Exports",01/31/23
UK Oil Boss: Fighting Windfall Tax Led To Missed Opportunities,01/31/23
Environmentalists: Steel Bailout Deal Should Come With Climate Conditions,01/31/23
Exxon Posts Highest Profits In Western Oil Company History,01/31/23
Libyan Oil Ministry Rejects $8 Billion Gas Deal With Eni,01/31/23
Russia’s Oil Exports Rebound Ahead Of The EU Ban On Fuel Imports,01/31/23
Russia’s Pipeline Gas Exports To Europe Slump To Record Low,01/31/23
Norway’s $1.3 Trillion Wealth Fund Takes Profits From The Oil Stock Rally,01/31/23
Saudi Arabia To Invest $270 Billion In Clean Energy,01/31/23
RBC: Oil Prices Will Only Go Higher From Here,01/31/23
IMF Injects Optimism Into Oil Markets,01/31/23
Texas Breaks Natural Gas Production Record,01/30/23
OPEC+ Closely Watches Chinese Factory Data,01/30/23
UAE Sees Investment Opportunity After $68 Billion Adani Wipeout,01/30/23
Energy Industry Leaders Call For Social Tariff To Tackle Winter Crisis,01/30/23
Ford Slashes Electric Vehicle Prices,01/30/23
"Putin, MBS Discuss Oil Strategy Ahead Of OPEC+ Meeting",01/30/23
Venezuela Demands Prepayment For Its Oil,01/30/23
Israel Responsible For Drone Attack On Iranian Weapons Factory,01/30/23
India Set To Crank Up Coal Power To Meet Soaring Demand,01/30/23
Turkey To Host A Natural Gas Summit In February,01/30/23
BP Believes Oil Demand Will Peak Near 2030 As Shift To Renewables Accelerates,01/30/23
Why Texas Should Lead The Energy Transition,01/30/23
Baker Hughes Sent Oil And Gas Drilling Equipment To Russia From Scotland,01/30/23
U.S. House Passes Bill To Limit SPR Withdrawals,01/27/23
German Crude Oil Imports Rose 11% in 2022 As Crude Import Bill Doubles,01/27/23
EU Leaders Fail To Agree Over Price Cap On Russian Oil Products,01/27/23
"U.S., EU Make $8.5 Billion Payment To Support South Africa’s Energy Transition",01/27/23
Norway Could Limit Electricity Exports To Avoid Shortages,01/27/23
Belgium’s NLMK La Louvière Steel Mill To Remain Shut Until Summer,01/27/23
Demonstrators Shut Down Serbian Copper Mine Over Wage Dispute,01/27/23
Italy Looks To Secure More Oil And Gas From Libya,01/27/23
Trafigura Ends Oil Export Deal With Kurdistan,01/27/23
Australia’s LNG Export Boom Is Leaving Its East Coast Short On Gas,01/27/23
Russian Oil Exports to India Could Hit New High In 2023,01/27/23
Chevron Reports Record-Breaking Profits For 2022,01/27/23
Freeport LNG Gets Regulatory Approval,01/26/23
Shell Wants To Bail On Energy Retail Businesses Due To “Tough Market Conditions”,01/26/23
Soaring Food Prices Prompt Eurasian Nations To Ban Food Exports,01/26/23
Europe Is Diversifying Its Diesel Sources Ahead Of Ban On Russian Fuel,01/26/23
Pipeline Gas Flows Resume To Freeport LNG Export Terminal,01/26/23
UK Car Production Hits 67-Year Low,01/26/23
Norway Sees Oil And Gas Tax Revenue Triple To Record $89 Billion,01/26/23
National Grid Is Keeping Coal Plants Warm For Backup Amid Cold Snap,01/26/23
Canadian Oil Exports To Asia Hit One-Year High,01/26/23
Eni Unable To Deliver LNG Cargo To Blackout-Stricken Pakistan,01/26/23
Chevron To Spend $75 Billion On Share Buybacks,01/26/23
Russia: Western Heavy Weapons Takes Conflict To “New Level”,01/25/23
Hess Earnings Outshine With New Guyana Discovery,01/25/23
Britain’s Nuclear Industry Calls For More Government Support,01/25/23
"Russia Races To Ramp Up Arms Production, Even If It Cripples Its Economy",01/25/23
Equinor Looks To Offload $1 Billion In Nigerian Oil Assets,01/25/23
Phase One Of Sempra’s Port Arthur LNG Project Is Now Fully Subscribed,01/25/23
Buyers In Japan And South Korea Renew Long-Term Deals With Russian LNG Project,01/25/23
Los Angeles County Passes Ban On New Oil And Gas Drilling,01/25/23
U.S. Grants License To Trinidad And Tobago To Develop Venezuelan Gas Field,01/25/23
"Exxon Stops Flaring In The Permian, Urges Others To Follow Suit",01/25/23
French Bank Commits To Reducing Oil And Gas Lending By 80%,01/25/23
"Rising Crude, Gasoline Inventories Weigh On Oil Prices",01/24/23
Uganda Starts Oil Drilling On First Commercial Project,01/24/23
Halliburton Hikes Dividend By 33% After Earnings Beat,01/24/23
Biden May Cancel SPR Sale: Report,01/24/23
Germany’s Electricity Subsidies Will Cost More Than $18 Billion Through May,01/24/23
"200,000 Bpd Angola Oilfield To Be Offline For More Than A Month",01/24/23
OPEC+ Set To Keep Oil Production Unchanged,01/24/23
Europe’s Gas Prices Slump By 11% On Warmer Weather Forecasts,01/24/23
Norway Proposes 92 New Oil And Gas Exploration Blocks,01/24/23
Georgia Think Tank: Little Progress Is Being Made In EU Bid,01/24/23
U.S. Urges Azerbaijan To End Blockade At Lachin Corridor,01/24/23
UK Extends Power Saving Incentives But Is Playing Down Risk Of Blackouts,01/24/23
Texas Oil And Gas Tax Payments Broke Records In 2022,01/24/23
"Freeport LNG Files For Restart, Awaits Regulatory Response",01/23/23
Russian Crude Exports from Baltic Ports See 50% Hike In January,01/23/23
Kuwait Cabinet Resigns Over Oil Wealth Spending,01/23/23
